Date;N° HESSO;Date de début;Date de fin;Libellé;Statut
2006-05-18;16657;2005-12-23;2006-03-08;Closed system study on Biosafe disposable kit ;AC
2007-02-27;16692;2006-01-01;2006-12-31;Consulting pour le développement hardware d'une interface rapide destinée à un bus de données de fréquence d'horloge supérieure à 100 MHz;AC
2006-12-19;16714;2006-03-01;2006-12-31;Etude et développement de nouveaux procédés de revêtements de bronzes anti-frictions appliqués à des alliages de titane (Ti Al6 V4);RF
2007-02-21;16716;2004-01-01;2006-03-31;Carte de risque d'érosion des sols du Canton de Genève;AC
2006-02-15;16746;2002-09-30;2006-09-30;Mobilité du phosphore dans les sols;AN
2006-02-15;16747;2002-09-30;2006-09-30;Mobilité des éléments traces métalliques dans les sols;AN
2006-02-15;16748;2002-09-30;2003-12-31;Le cuivre dans les sols viticoles de Genève;AN
2006-02-15;16749;2002-09-30;2004-09-30;Activité microbiologique et éléments traces métalliques dans les sols;AN
2006-02-15;16750;2002-09-30;2006-09-30;Réseau d'observation des sols genevois GEOS;AN
2006-02-15;16751;2002-09-30;2006-09-30;Analyses des sols et calcul de la fertilisation;AN
2013-01-25;16762;2006-01-01;2014-12-31;CERN - High Level Dosimetry 2006-2012;AC
2007-08-23;16774;2006-04-16;2006-09-29;INFUB - 7th European Conference on Industrial Furnaces And Boilers, Porto, 18-21 avril 2006;AC
2010-01-28;16775;2005-01-01;2008-12-31;Réseau de compétence MaCHoP (participation Ge);AC
2010-11-02;16825;2006-01-01;2008-12-31;IBIO ' acquisition et valorisation de projets;AC
2010-07-19;16826;2006-01-01;2009-12-31;INIT : Acquisition et valorisation de projets;AC
2010-09-27;16827;2006-01-01;2010-12-31;IMEC - acquisition et valorisation de projets Ra&D;AC
2010-12-13;16828;2006-01-01;2008-12-31;INES - acquisition et valorisation de projets;AC
2010-09-27;16829;2006-01-01;2008-12-31;INIS - acquisition et valorisation de projets;AC
2007-02-27;16833;2006-02-10;2007-01-31;Ni noir Rolex;AC
2009-01-23;16857;2006-05-01;2008-06-30;Recherche de nouveaux revêtements de bronzes anti-frictions sans plomb;AC
2007-02-27;16879;2006-04-05;2006-06-30;Complément à l'étude du renouvellement de l'évacuateur de crues du barrage de MOTZ sur modèle réduit.;AC
2008-02-26;16884;2006-03-01;2007-12-31;ETEC-Phase 1 : Evaluation technico-économique de capteurs pour un nouveau contrôleur de brûleurs;AC
2010-01-07;16889;2005-11-01;2007-12-31;Production in vitro de biomasse de Santalanum album;AC
2007-08-23;16917;2006-01-01;2006-12-31;Coordination du RCSO-TIC pour 2006;AC
2006-08-24;16944;2006-01-01;2006-03-31;Projet Antivitrifiant ;AC
2008-01-28;16951;2006-03-01;2006-12-31;Organisation de la gestion du fond de compensation du patrimoine arboré (DNP)  Aide à la rédaction des nouvelles directives pour la protection du patrimoine arboré;AC
2007-06-05;16955;2006-03-10;2006-09-10;Etude et optimisation de carburants "diesel" à base d'huiles de récupération pour l'alimentation des moteurs d'entraînement ("pousseurs") de barges fluviales;RF
2009-01-27;16975;2006-01-02;2009-12-31;WSC-07 Genève;AC
2006-11-07;16985;2006-04-03;2006-05-30;Etude expérimentale de vibrations générées par des carrures ;AC
2013-11-09;16990;2005-12-01;2010-11-30;TetraEner GE WP 1.2 - Methodology for environemental and energy districpt planning;AC
2009-01-26;16997;2005-12-01;2007-12-31;TetraEner GE WP 1.1 - Methodology for the design of lake and river water utilization systems;AC
2011-01-05;16998;2005-12-01;2007-10-31;TetraEner GE WP 1.3 - Monitoring and adaptation of existing building (application of quick building diagnosis method);AC
2013-11-09;16999;2007-10-01;2010-11-30;TetraEner GE WP 1.4 - Local dissemination of the project results (events at eig school;AC
2013-11-09;17000;2005-12-01;2010-11-30;TetraEner GE WP 3.1 - Training of professional, educators and youth;AC
2013-11-09;17001;2005-12-01;2010-12-31;TetraEner CO WP 4.1 - Management of the consortium activités;AC
2013-11-09;17006;2005-12-01;2010-12-31;TetraEner CO WP 1.2 Common dissemination activities;AC
2013-11-09;17007;2005-12-01;2009-12-31;TetraEner CO WP 1.3 - Common dissemination activities;AC
2007-02-16;17008;2006-03-07;2008-10-31;Commune de Plan-les-Ouates - Aménagement de la Route de Base;AC
2006-08-08;17099;2006-10-01;2007-12-31;Croissance de couches à structure perovskite ;RF
2006-08-17;17110;2006-04-04;2006-06-02;Etude et implémentation en C++ d'algorithmes d'estimation de l'indice de plissement du cortex à partir d'un prototype réalisé en Matlab;RF
2008-01-17;17118;2000-05-01;2007-08-31;CALIS;AC
2007-02-15;17121;2006-04-02;2006-04-07;Plaine du Rhône;AC
2007-02-15;17122;2006-04-01;2006-04-30;Plan Napoléon;AC
2007-03-08;17123;2006-06-30;2008-12-31;PLATE-FORME COLLABORATIVE POUR LA GESTION DE L'INFORMATION CONTEXRUALISEE;RF
2006-07-12;17132;2005-01-01;2005-12-31;Financement complémentaire pour Coordination du RCSO-TIC 2005;AC
2009-06-04;17169;2006-11-01;2008-06-30;Nouveau revêtement nanocomposite pour applications tribologiques;AC
2010-01-18;17175;2007-01-01;2008-06-30;Real-Time Functional Cardiac Embedded Diagnostic System version 2;AC
2006-08-17;17196;2006-05-01;2007-03-31;Etude visant à la modélisation et l'optimisation des performances de carburateurs à gaz RM-814 et RM-25;RF
2009-08-28;17201;2007-03-01;2008-09-30;Capteur optique interférométrique miniature pour la mesure de grandeurs physiques en temps réel;AC
2009-07-01;17202;2006-11-01;2008-03-31;Front-End Intégré pour Transducteur Ultra Sonore;AC
2006-10-20;17206;2007-01-01;2007-12-31;Un capteur pour développer une technique d'encapsulation compatible aux basses températures;RF
2013-09-16;17219;2007-01-01;2009-12-31;Database access on the Grid;AC
2008-02-26;17231;2006-04-23;2006-04-26;Echange international MED-IT 2006;AC
2014-04-22;17239;2007-01-01;2009-04-30;Etude de l'aérodynamique interne d'un déphaseur d'ondes thermiques;AC
2010-10-25;17262;2007-03-01;2009-10-31;Mise en forme au niveau micrométrique de métaux réfractaires ;AC
2007-02-27;17268;2006-05-22;2006-06-30;Etude et avant-projet d'éclairage de la citadelle d'ALEP (Syrie), intégrant la conception et l'élaboration des lignes directrices d'un plan-lumière pour la zone d'intervention d'AKTC;AC
2006-11-07;17276;2006-05-31;2006-06-30;Conception d'un nouvel instrument de microscopie OCT (Optical Coherence Tomography) destiné au marché et supervision technique de son développement ;AC
2009-08-24;17277;2006-05-22;2008-01-31;Calcitech plomb;AC
2006-11-07;17288;2006-09-01;2007-08-31;Création d'un pôle de compétence en injection plastique;RF
2007-05-15;17333;2006-06-02;2006-12-31;Librairie de traitement d'image en C++;AC
2010-01-19;17338;2007-05-10;2008-06-30;Conception, étude de faisabilité et prototypage d'un pommeau de douche de nouvelle génération, incorporant une cartouche dégradable de savon;RF
2008-02-26;17352;2006-09-01;2007-09-03;Micro et Nanostructuration des surfaces;AC
2010-11-23;17397;2006-08-01;2009-05-15;LES FORMES DE L'INTERACTIVITE 3;AC
2007-03-15;17400;2006-10-01;2007-09-30;Module d'acoustique des salles pour le programme de simulation thermique Bsol;RF
2010-09-27;17407;2008-07-01;2009-06-30;Acquisitions de compétence en lutte microbiologique: Caractérisation de la souche UASWS0038 de Pseudomonas viridiflava contrôlant les espèces du genre Phytophthora et Pythium (spectres d'hôtes, molécules actives, gènes codants, métabolisme du carbone);AN
2010-11-23;17412;2006-07-01;2006-12-22;Design et Muséographie 1;AC
2009-01-15;17416;2006-06-15;2007-11-26;Contra-Eole 1;AC
2010-01-07;17435;2006-10-01;2008-10-31;Utilisation pratique des Pediococcus en vinification;AC
2007-02-27;17459;2006-06-01;2006-12-29;Réalisation de l'étude d'éclairage de la citadelle d'ALEP (Syrie) et conseil pour le projet d'éclairage en cours, relatif à la zone urbaine ACP;AC
2006-11-07;17484;2006-07-05;2006-10-31;Conseil Reverse engineering SALOMON - chaussure nordic "25 gramm contre fort";AC
2006-07-07;17499;2006-06-02;2008-10-30;Chênes de Cologny - Quercus robur;AN
2006-08-02;17500;2005-07-11;2007-10-15;Service des forêts - Ch. de la Tulette;AN
2010-03-25;17506;2006-04-01;2008-06-30;Bone pace maker;AC
2006-12-20;17524;2006-11-01;2009-10-31;DIAGNOstique en temps réel et sur le long terme de la TOXicité de produits chimiques sur des epithéliums respiratoires humains reconstruits in vitro.;RF
2010-06-10;17535;2006-07-21;2010-05-31;ROBIN TOP- Elaboration d'un biotope humide au jardin Robinson du Lignon;AC
2007-02-22;17539;2006-01-02;2007-07-02;Elimination durable des néophytes et renaturation de la Veraye;AC
2007-02-22;17541;2006-07-02;2007-07-31;Projet de revitalisation du ruisseau de la Pâle;AC
2007-02-15;17542;2006-02-01;2006-06-11;Abandon des vidanges du Barrage de Verbois: Volet DD;AC
2009-01-15;17544;2004-11-01;2007-12-21;Suivi piscicole des ruisseaux de Céligny/GE;AC
2007-02-15;17546;2005-08-21;2006-08-06;Etude des rives du Leman et de leur potentiel de renaturation;AC
2010-03-01;17549;2007-01-01;2010-12-31;Maison de la rivière;AC
2007-02-22;17554;2003-09-01;2006-03-31;ExcParc;AC
2007-02-22;17555;2005-01-16;2006-05-14;Projet de tourisme en sous-marin dans le Léman;AC
2009-11-04;17556;2006-02-05;2007-08-31;Participation a la gestion des ressources naturelles en Tanzanie. Rôle des communautés;AC
2011-01-03;17559;2006-02-05;2010-12-31;PGEE- Modélisation hydraulique: Aire la ville, Avully, Cartigny,Laconnex, Soral;AC
2011-07-04;17560;2006-02-12;2010-12-31;PGEE- Modélisation hydraulique: Gy, Meinier, Presinge, Puplinge;AC
2006-08-04;17571;2005-04-01;2007-10-15;Tram 13 Acacias;AN
2006-08-04;17573;2006-05-26;2008-10-01;Cerisier Conche;AN
2006-08-04;17574;2005-10-14;2007-10-15;Cèdre OMPI;AN
2008-02-10;17580;2006-07-21;2007-02-28;Générateur de fréquence fixe;AC
2006-08-08;17582;2006-03-13;2006-11-30;Boccard Parcs et Jardins SA pour Richemont;AN
2006-08-08;17583;2005-03-10;2007-10-15;Parking Plaine de Plainpalais;AN
2006-08-09;17599;2005-10-25;2007-10-15;Marronniers "Campagne Sarasin" - Grand Saconnex;AN
2007-02-16;17600;2005-10-24;2006-10-15;Boccard Parcs et Jardins SA pour Square de l'Académie;AN
2006-08-09;17605;2005-04-01;2006-10-15;Place du Molard;AN
2007-11-19;17606;2006-08-10;2007-09-30;Générateur d'étincelles pour microscope STM (Scanning-Tunneling-Microscope);AC
2006-08-09;17607;2006-03-07;2008-10-15;Tram Lancy;AN
2006-08-09;17608;2005-06-03;2005-10-15;Commune de Chêne-Bourg, Place Bel-Air : restauration de l'allée de tilleuls;AN
2006-08-09;17609;2005-06-03;2008-08-15;Commune de Chêne-Bourg, Place Bel-Air : suivi de la reprise de l'allée de tilleuls;AN
2006-08-09;17610;2006-08-09;2008-10-15;Plainpalais - Vieux marronniers;AN
2007-04-19;17616;2006-01-08;2008-12-19;Dessalement de l'eau de mer par procédé injection directe;AN
2006-08-17;17621;2005-11-07;2006-10-16;Assistance technique sur le chantier du Boulevard Helvétique;AN
2009-01-06;17623;2006-08-17;2008-12-31;Air-bag pour avalanche;AC
2007-05-07;17629;2006-10-02;2008-09-30;Material Science at Nanoscale for development of Nanocomposite coatings ;RF
2007-10-24;17638;2006-01-01;2007-12-31;MEMODULES as tangible shortcuts to multimedia information;AC
2014-01-19;17640;2006-06-01;2012-03-31;Livre ASP;AC
2010-11-24;17645;2007-03-01;2008-02-28;Procédé de production de bio-pétrole;AN
2007-11-14;17662;2007-01-01;2008-12-31;IMPACT DES TIC SUR L'ORGANISATION ET LE TRAVAIL DES EMPLOYES DANS LES ADMINISTRATIONS PUBLIQUES, LES ORGANISATIONS NON GOUVERNEMENTALES AINSI QUE LE SECTEUR ASSOCIATIF;RF
2010-11-24;17702;2007-05-01;2009-12-31;Coûts et performance des distributeurs suisses d'eau potable;AC
2010-05-25;17716;2007-02-01;2008-12-31;Coûts et performance des distributeurs suisses d'eau potable;AC
2010-10-18;17724;2007-06-01;2008-12-31;Optimisation et automatisation du fractionnement de strips pour la séparation et l'identification des peptides;AN
2007-02-09;17725;2006-09-01;2006-12-31;Conception d'un nouveau système de lecture optique pour mesurer la position de la tête d'usinage d'une machine-outil;RF
2008-02-26;17726;2006-01-01;2006-05-31;Journée de la recherche des HES, événementiel des 10 et 11 mai 2006;AC
2007-04-25;17735;2006-10-01;2006-12-31;Conception d'un logiciel de détection automatique d'informations extraites à partir d'images de cadrans de montres;RF
2011-12-21;17745;2006-09-01;2008-12-31;Développement d'un dispositif de mouvement horloger novateur;AC
2008-12-17;17797;2007-03-01;2008-02-29;Acueil : Analyse du comportement des utilisateurs en recherche bibliographique - extraction et interpretation des fichiers log;AC
2007-07-05;17807;2006-11-01;2007-12-31;Etape I de l'extension de l'équipement "MeeP" (Micro-enceinte à éléments Peltier), visant au développement d'un équipement "MeeP" autonome et automatisé, pour une utilisation en conditions d'exploitation :  - restreint à une régulation de température (RTe;AN
2007-02-15;17811;2006-08-01;2006-09-30;Vues aériennes Genève 1938, partie 1;AC
2007-02-15;17812;2006-08-01;2006-09-30;Vues aériennes Genève 1938, partie 2;AC
2015-07-02;17816;2006-11-01;2015-12-31;Outils informatiques permettant à des personnes aveugles d'accéder à une meilleure connaissance de l'environnement urbain.;AC
2009-01-15;17827;2007-04-01;2007-12-31;Etude et développement d'un système de mesure MTF (*) portable, destiné à la mesure, la caractérisation et la maintenance d'objectifs de caméras vidéo professionnelles, intégrant une interface à haut débit PC USB2  (*) MTF : Modulation Transfer Function;AC
2013-05-27;17851;2007-01-01;2008-06-30;CreaSearch - Elaboration de méthodologies et de modèles pour une activité de recherche basée sur les processus de création en design;AC
2011-01-07;17854;2006-11-01;2010-08-31;Leading house genevoise en économie de l'éducation (transfert de subvention : OFFT/UNIGE-SES/HEG);AC
2010-05-28;17855;2009-01-01;2009-12-31;Analyse de l'impact des mouvements frontaliers sur le marché de l'emploi dans le canton de Genève;AC
2008-01-31;17873;2007-06-04;2008-05-30;Conception d'un nouveau systeme de magnétron optimisé;RF
2009-01-23;17878;2006-09-15;2007-07-07;Régulation de température pour chauffage à distance (Miléant III);AC
2009-07-20;17891;2007-01-07;2008-06-30;Composite à application biomédicale : Parylène ' résine époxy ' Parylène;AC
2010-04-13;17911;2007-01-10;2008-12-31;NeuroWeb.ch;AC
2009-01-15;17913;2006-12-03;2007-06-30;Conception dispositif d'essais, permettant d'accélérer les tests de durée de vie (TDV) d'instruments dentaires;AC
2012-03-20;17944;2006-07-03;2013-12-31;Projet de collaboration entre le CMU et l'EIG, et entre les HUG et l'EIG;AC
2011-12-16;17965;2007-03-01;2008-12-31;Méthode optique passive pour la caractérisation de la turbulence dans les flammes;AC
2007-08-23;17973;2006-10-24;2006-12-31;Consulting en CEM ;AC
2011-12-16;17984;2007-01-08;2008-12-31;Méthode optique passive pour la caractérisation de la turbulence dans les flammes;AC
2009-01-06;17988;2006-01-01;2006-05-31;Journée de la recherche des HES, événementiel des 10 et 11 mai 2006;AC
2008-10-30;17995;2007-01-08;2007-11-30;Radar UWB portable faible puissance pour applications biomédicales;AC
2007-11-08;18065;2006-12-01;2007-12-31;Prototypage d'un générateur EDM à décharge capacitive;AC
2008-01-31;18087;2006-11-20;2006-11-20;Development of an advantageous method aiming to produce submicron capsules by plasma polymerization ;RF
2008-01-16;18088;2005-01-01;2005-09-30;CERTIDoc;AC
2007-04-19;18214;2007-02-01;2008-01-31;COMPORG ' Evaluation et choix de technologies pour un système intégré de traitement de déchets alimentaires.;RF
2007-09-24;18219;2006-11-01;2007-12-31;Master FTAL;AC
2009-11-06;18266;2007-01-02;2008-12-31;MICRO-EDM-MILL: MICRO ELECTRICAL DISCHARGE MILLING  CTI P-No: 8501.2  ;AC
2007-02-27;18269;2006-04-01;2006-06-30;Albatros-D CTI;AC
2008-02-26;18275;2007-02-01;2007-12-31;étude et mise au point d'une antenne de réception pour la mesure sous IRM de la concentration de 31P dans un rein au cours du processus de transplantation;AC
2008-02-26;18279;2006-01-01;2006-12-31;PRESIDENCE ET COORDINATION DU RESEAU MATNET 2006;AC
2008-10-31;18283;2007-03-01;2008-02-29;Acueil : Analyse du comportement des utilisateurs en recherche bibliographique - extraction et interpretation des fichiers log;AC
2008-11-19;18363;2007-01-01;2007-12-31;RCSO-TIC 2007;AC
2007-11-16;18403;2007-02-01;2007-12-31;InterfaNews - Evolution des interfaces: smart-client, client léger riche, Web 2.0, XAML;AC
2011-01-25;18410;2007-01-01;2008-04-30;Memoria-Mea : Stocker, classifier, rechercher et mémoriser ses informations multimédias personnelles  ;AC
2010-01-18;18431;2007-04-01;2008-07-31;Hydrocéphalie à pression normale;AC
2010-04-19;18439;2007-01-01;2007-12-31;Etude de faisabilité pour le développement d'algorithmes dédiés à la classification de documents intégrant des grands volumes de données ;AC
2015-09-04;18443;2007-02-05;2011-06-03;La naturation comme outil d'urbanisme;AC
2015-02-19;18455;2007-04-01;2010-02-28;La naturation comme outil d'urbanisme;AC
2007-11-08;18470;2006-07-01;2006-08-31;STAGE DE M. TINEMBART CHEZ METROLAB;AC
2009-01-23;18511;2007-04-01;2007-11-30;Feasibility study CTI / Alliance : Silicon recycling from wafering waste to produce reusable photovoltaic feedstock;AC
2007-08-07;18534;2007-05-01;2007-07-31;CARMEN - Etude de l'impact des rejets thermiques dans le Rhône. Mesures et modélisation CFD. Synthèse.;RF
2010-09-16;18549;2007-03-01;2008-02-29;ID QUANTIQUE generateur aleatoire II generation;AN
2008-02-26;18553;2007-01-01;2007-06-30;NEW JERSEY TRANSIT AERO II;AC
2015-10-26;18567;2006-01-01;2008-12-31;Cofinancement sur projets;EC
2010-11-25;18577;2007-01-01;2009-12-31;RC2 - Fatigue et nanotopographie;AC
2007-11-19;18595;2007-02-01;2007-11-19;Optimisation et finalisation d'une enceinte régulée en température et humidité, dans laquelle seront effectuées diverses mesures physiques;RF
2011-12-15;18598;2007-02-02;2007-05-31;Participation au Salon de l'Automobile 2007;AC
2007-09-25;18610;2007-03-01;2007-03-31;Etude de l'agrandissement du champ de vue objet du microscope OCT (Optical Coherence Tomography) produit par Heliotis AG.;AC
2010-01-07;18616;2007-02-01;2008-12-31;Transformation de Phytophthora citricola et de Phythophthora pseudosyrengae;AC
2010-03-18;18618;2007-02-06;2007-04-30;Etude et réalisation d'une plate-forme sécurisée;AC
2007-11-06;18647;2007-06-01;2008-11-30;SAS - CTI;RF
2007-09-10;18671;2007-10-01;2008-09-30;Biométhanisation de déchets organiques humides spécifiques.;RF
2013-07-02;18683;2007-07-02;2013-12-31;Rivières et Réchauffement climatique ou comment mettre en place une stratégie de lutte efficace contre les effets du réchauffement des rivières grâce à l'ombre des arbres ;AC
2011-07-19;18721;2005-01-01;2010-12-31;Mandats tensiométrie;AC
2010-05-25;18736;2007-09-01;2009-12-31;Clé de détermination électronique multi accès des macroinvertébrés de Suisse utilisés pour les indices biotiques;AC
2009-07-20;18738;2007-04-01;2008-03-31;Les nouveaux revêtements lubrifiants texturés par laser;AC
2009-01-19;18774;2005-10-01;2006-12-31;Plan de gestion de la haie du Chemin de l'Ecole Buissonière;AC
2008-08-14;18775;2007-01-01;2007-12-31;Rédaction des nouvelles directives pour la protection du patrimoine arboré;AC
2008-01-31;18779;2007-02-26;2007-12-31;Etude et réalisation d'un biotribocorrosimètre permettant d'effectuer les essais et les test spécifiques au développement et à la fabrication de prothèses orthopédiques ;RF
2011-03-24;18790;2007-01-01;2009-12-31;Gestion du socle de l'ITNP, Cofinancement de projets;AC
2013-01-07;18791;2007-01-01;2008-12-31;ITNP : acquisition de projets 2007;AC
2010-06-23;18796;2007-10-01;2009-03-31;Intégration d'Internet dans les stratégies de distribution des marques de luxe;AC
2009-03-12;18821;2007-09-01;2008-08-31;Synthesis, optimisation and adaptation of transparent and flexible piezoelectric PVDF films for biomedical applications;AC
2009-01-26;18824;2007-07-09;2007-12-31;Etude et développement d'une interface "homme-machine compatible PC" pour la communication avec le tableau panoramique équipant l'enclenchement du  site de Genève Cornavin;AC
2013-09-16;18829;2007-10-01;2009-06-30;Plateforme Multimodale pour Surfaces Interactives   Multimodal Platform for Interactive Surfaces  ;AC
2010-11-23;18837;2007-02-01;2008-01-31;Design et Muséographie 2 ;AC
2014-05-08;18866;2008-05-02;2011-02-28;Vidéo à la demande et Sécurité 2 ème partie;AC
2009-02-16;18867;2007-05-01;2008-05-01;PLATE-FORME COLLABORATIVE POUR LA GESTION D'INFORMATION (QOE) CONTEXTUALISEE ;AN
2009-12-04;18869;2007-09-01;2008-06-30;"étude de complexité" préalable à l'acquisition (ultérieure, accomplie par IRDAM SA) d'un logiciel visant à la simulation et à la prédiction du processus de propagation de polluants gazeux, pour anticiper (p.ex.) un incident survenant sur un site industri;AC
2014-12-10;18880;2007-05-01;2007-08-31;Evaluation et optimisation des pertes de charges dans un purificateur d'air par photocatalyse;AC
2007-08-07;18889;2007-04-01;2007-12-31;Etude de la perturbation aérodynamique des trajectoires de gouttelettes d'encre;RF
2012-11-05;18890;2005-07-01;2012-12-31;Consortium Alliance;EC
2009-01-15;18896;2007-05-06;2008-02-29;film d'animation pour cuisine ASCEART;AC
2013-10-22;18933;2007-09-01;2011-12-31;Etude de l'effet du séisme sur les constructions en bois en Suisse;AN
2009-03-26;18940;2008-02-25;2008-04-11;ETEC ' Phase 2, évaluation technico-économique de capteurs pour un nouveau contrôleur de brûleurs;AC
2008-10-16;18943;2008-01-01;2010-12-31;OntoServices - Service identification and extraction from legacy systems based on domain ontologies;AN
2008-01-22;18948;2007-03-27;2007-06-30;"Vorstudie eines neuen Ratemeter-Systems (RAPSA dritter Generation), Etappe 1 : Rückwärts -Entwicklung";RF
2008-01-31;18959;2007-03-28;2009-10-30;Revêtements antiseptiques à base d'argent pour l'emballage actif;AN
2008-01-31;18960;2007-03-28;2008-05-02;Coating systems for Intelligent Nanostructured products;AN
2008-01-16;18961;2007-03-28;2008-05-04;Large Scale Production of Multifunctionally Acting Diffusion Barrier Layers Providing Taylored Sorption for Sustainable Materials;AN
2010-01-26;18977;2006-06-01;2009-12-31;Plaquette de présentation de la filière AP;AC
2009-01-06;18978;2006-10-01;2007-12-31;Etude territoriale, historique et paysagère du périmètre de "La Chapelle", Genève;AC
2009-01-06;19002;2005-02-01;2007-12-31;Le domaine du château d'Aymavilles;AC
2008-01-28;19004;2005-01-03;2007-09-02;Conception du "Jardin de l'Europe", Futuroscope, Poitier, Fr;AC
2009-01-06;19005;2005-12-05;2006-06-05;Coucours BDL2, HUG genève;AC
2009-06-04;19045;2007-04-18;2008-03-08;Corrosion protection with perfect Atomic Layers;AC
2010-09-27;19052;2007-06-01;2011-12-31;Phylogénie moléculaire Université d'Aberdeen;AC
2008-02-04;19058;2007-03-01;2007-12-31;FNS Images viatiques, paysage et représentations scientifiques. Les images des Alpes dans les récits de voyage, de Gottlieb-Sigmund Gruner (1760) à Louis Agassiz (1847).;AC
2007-06-27;19078;2007-10-01;2008-12-31;Outils d'analyse de la fonction cardiaque à partir d'images IRM;RF
2012-01-03;19080;2007-11-01;2009-03-31;Capteur de force pour le criblage de molécules sur tissus ou cellules cardiaques in-vitro;AC
2011-08-18;19089;2008-03-01;2010-02-28;Optimisation d'une méthode de gestion de la faune: la translocation;AC
2008-11-14;19090;2006-11-01;2007-11-30;Cartographie des forêts remarquables de la Haute-Chaîne du Jura;AC
2011-12-02;19092;2008-01-01;2010-08-31;Capteurs intégrés à faible consommation avec alimentation et communication sans fil;AC
2010-11-25;19100;2007-12-01;2009-12-30;Imagerie optique du cortex cérébral;AC
2010-09-27;19117;2007-01-01;2007-12-31;Administration de la recherche;AN
2010-09-27;19119;2007-01-01;2007-12-31;Publications 2007;AC
2009-03-19;19148;2007-04-02;2008-01-31;Smart lubricated contacts using nanofluidics validation for engine bearings   ;AC
2014-11-20;19151;2007-09-01;2010-05-31;Enveloppes végétales en milieu urbain : recherches, constructions et applications afin d'améliorer le climat urbain et la thermique intra et extra bâtiment;AC
2010-06-28;19172;2007-03-01;2008-10-08;Coloration d'alliages d'or par écriture ionique directe;AC
2009-01-15;19178;2007-05-14;2007-12-31;Salons ITNP 2007;AC
2010-04-15;19186;2007-07-01;2009-02-28;Cartographie actualisée du Crêt de la Neige;AC
2012-11-05;19197;2008-03-01;2009-09-01;Rivières et Réchauffement climatique ou comment mettre en place une stratégie de lutte efficace contre les effets du réchauffement des rivières grâce à l'ombre des arbres (partie mécanique des fluides).;AC
2010-01-04;19199;2010-01-06;2010-01-30;Modèle aérodynamique de Genève;AC
2008-11-26;19211;2007-01-01;2007-12-31;RCSO-TE (Energie) de l'année 2007;AC
2007-10-30;19241;2007-09-01;2008-07-31;Etude de l'écoulement dans une pompe à vide de type Roots;RF
2011-04-08;19272;2007-05-01;2011-03-31;Influence des pratiques agropiscicoles sur la biodiversité des étangs de la Dombes (Ain, France) en vue d'une valorisation de produits du terroir.;AC
2010-01-18;19305;2007-09-01;2009-08-31;Clé de détermination électronique multi accès des macroinvertébrés de Suisse utilisés pour les indices biotiques;AC
2009-07-06;19326;2007-10-01;2009-03-31;Intégration d'Internet dans les stratégies de distribution des marques de luxe;AC
2008-08-25;19334;2007-09-01;2009-07-31;Les indices du marché suisse des actions;AN
2008-02-26;19340;2007-07-16;2007-12-31;Analyse, modification et extension d'une base de données existante;AC
2011-12-15;19344;2007-12-03;2007-12-14;Essais d'arrachement d'inserts inox dans un corps de vanne en PPS;AC
2011-02-10;19366;2007-01-01;2007-12-31;Comité scientifique RCSO ISYS pour 2007;AC
2010-01-07;19370;2007-10-01;2010-01-31;Clonage et caractérisation d'enzymes clés pour la biosynthèse de terpènes d'intérêt en vue de leur utilisation pour une production par approche biotechnologique (Commission pour la technologie et l'innovation, projet CTI no. 9083-PFLS-LS).;AC
2009-04-20;19378;2007-04-01;2007-07-31;Préparation et animation d'un stand HESSO à la conférence Jazoon 2007 (24 au 28 juin, Zürich).;AC
2008-01-31;19382;2007-07-03;2007-07-03;Thème : wafers microstructurés / audit du procédé de photolithographie actuel   ;RF
2011-01-13;19389;2006-01-01;2009-12-31;Echanges internationaux;AC
2010-02-04;19392;2007-01-01;2010-12-31;Monitoring de la biodiversité des étangs du cirque de Macun (Parc National Suisse);AC
2010-01-07;19397;2007-09-01;2009-12-31;Chancre coloré 2007-2009;AC
2014-12-07;19398;2009-09-01;2016-08-31;Observatoire cantonal des maladies des plantes ornementales  2009-2014;EC
2010-06-07;19418;2008-03-01;2011-06-30;Cultures in vitro d'Helléborus sp. et assaisinissement de plantes mères virosées ;AC
2009-01-15;19437;2007-08-13;2008-12-31;Etude d'un réacteur à très haute température pour la production d'hydrogène (partie 1);AC
2013-07-13;19438;2007-01-01;2010-12-31;Gestion du centre de compétences RCSO /GO-ACT;AC
2010-07-09;19461;2007-11-01;2008-12-31;Etude complémentaire et essais d'une éolienne destinée à un montage en toitures;AC
2008-02-26;19466;2007-10-15;2007-11-15;Analyse de compétences dans le domaine informatique;AC
2008-11-20;19555;2007-09-03;2008-06-30;Nouvelle architecture Microsoft Office 2007 - Bien l'intégrer dans l'entreprise;AC
2011-01-24;19601;2008-01-01;2009-12-31;Premier réseau quantique au monde;AC
2009-11-19;19602;2007-12-01;2009-11-30;Caractérisation et bioingéniérie d'une souche de Pseudomonas viridiflava contrôlant les espèces du genre Phytophthora et Pythium;RF
2011-01-12;19606;2008-01-01;2010-06-30;Development of a Laser Ablation-Pulsed Glow Discharge-Time Of Flight Mass Spectrometer (LA-GDTOFMS)  for direct local analysis of solids and speciation studies;AC
2008-12-11;19626;2007-09-01;2008-02-29;Understanding the Private Demand for International Payments for Ecosystems Services;AC
2008-10-30;19671;2007-01-01;2007-12-31;Colloque USSP 2007, les arbres et le milieu urbain;AC
2014-05-05;19677;2008-01-01;2008-09-30;Usinage de matériaux transparents par faisceau ionique;AC
